from_station_id,from_line,to_station_id,to_line,edge_type,distance_km,transfer_walk_min
1,Red Line,2,Red Line,ride,0.8887813042644572,
1,Red Line,232,Red Line,ride,1.203311827702466,
2,Red Line,1,Red Line,ride,0.8887813042644572,
2,Red Line,3,Red Line,ride,1.094598535983384,
3,Red Line,2,Red Line,ride,1.094598535983384,
3,Red Line,4,Red Line,ride,1.3718644273165372,
4,Red Line,3,Red Line,ride,1.3718644273165372,
4,Red Line,5,Red Line,ride,0.9271654483342318,
5,Red Line,4,Red Line,ride,0.9271654483342318,
5,Red Line,6,Red Line,ride,1.0524526703614554,
5,Red Line,5,Pink Line,transfer,0.0,4
6,Red Line,5,Red Line,ride,1.0524526703614554,
6,Red Line,7,Red Line,ride,1.6625913686503446,
7,Red Line,6,Red Line,ride,1.6625913686503446,
7,Red Line,8,Red Line,ride,2.185578593648447,
8,Red Line,7,Red Line,ride,2.185578593648447,
8,Red Line,9,Red Line,ride,1.1046873817083596,
8,Red Line,8,Violet Line,transfer,0.0,4
8,Red Line,8,Yellow Line,transfer,0.0,4
9,Red Line,8,Red Line,ride,1.1046873817083596,
9,Red Line,10,Red Line,ride,1.0262430786617427,
10,Red Line,9,Red Line,ride,1.0262430786617427,
10,Red Line,11,Red Line,ride,0.9286494301594399,
11,Red Line,10,Red Line,ride,0.9286494301594399,
11,Red Line,12,Red Line,ride,1.5323279946912145,
12,Red Line,11,Red Line,ride,1.5323279946912145,
12,Red Line,13,Red Line,ride,1.1758292216088992,
13,Red Line,12,Red Line,ride,1.1758292216088992,
13,Red Line,14,Red Line,ride,1.2444471959499035,
13,Red Line,13,Green Line,transfer,0.0,4
14,Red Line,13,Red Line,ride,1.2444471959499035,
14,Red Line,15,Red Line,ride,0.7331558737490663,
15,Red Line,14,Red Line,ride,0.7331558737490663,
15,Red Line,16,Red Line,ride,1.1768317341140977,
16,Red Line,15,Red Line,ride,1.1768317341140977,
16,Red Line,17,Red Line,ride,1.194680924960771,
16,Red Line,16,Pink Line,transfer,0.0,4
17,Red Line,16,Red Line,ride,1.194680924960771,
17,Red Line,18,Red Line,ride,0.9822354259848867,
18,Red Line,17,Red Line,ride,0.9822354259848867,
18,Red Line,19,Red Line,ride,0.8351628087246905,
19,Red Line,18,Red Line,ride,0.8351628087246905,
19,Red Line,20,Red Line,ride,1.251371689204797,
20,Red Line,19,Red Line,ride,1.251371689204797,
20,Red Line,21,Red Line,ride,1.2277547671912759,
21,Red Line,20,Red Line,ride,1.2277547671912759,
232,Red Line,1,Red Line,ride,1.203311827702466,
232,Red Line,231,Red Line,ride,1.236051189122352,
231,Red Line,232,Red Line,ride,1.236051189122352,
231,Red Line,230,Red Line,ride,1.2788508694545841,
230,Red Line,231,Red Line,ride,1.2788508694545841,
230,Red Line,229,Red Line,ride,1.1105478848453285,
229,Red Line,230,Red Line,ride,1.1105478848453285,
229,Red Line,228,Red Line,ride,1.2978399098937043,
228,Red Line,229,Red Line,ride,1.2978399098937043,
228,Red Line,227,Red Line,ride,0.7630884216863738,
227,Red Line,228,Red Line,ride,0.7630884216863738,
227,Red Line,226,Red Line,ride,1.488320025281391,
226,Red Line,227,Red Line,ride,1.488320025281391,
226,Red Line,225,Red Line,ride,0.9972802304249512,
225,Red Line,226,Red Line,ride,0.9972802304249512,
74,Pink Line,210,Pink Line,ride,1.7890867192829714,
74,Pink Line,74,Blue Line,transfer,0.0,4
210,Pink Line,74,Pink Line,ride,1.7890867192829714,
210,Pink Line,207,Pink Line,ride,2.0234880206702988,
207,Pink Line,210,Pink Line,ride,2.0234880206702988,
207,Pink Line,75,Pink Line,ride,3.9285759305217893,
75,Pink Line,207,Pink Line,ride,3.9285759305217893,
75,Pink Line,208,Pink Line,ride,3.181808650260506,
75,Pink Line,75,Blue Line,transfer,0.0,4
208,Pink Line,75,Pink Line,ride,3.181808650260506,
208,Pink Line,209,Pink Line,ride,0.5529502488846751,
209,Pink Line,208,Pink Line,ride,0.5529502488846751,
209,Pink Line,211,Pink Line,ride,2.868468964163167,
211,Pink Line,209,Pink Line,ride,2.868468964163167,
211,Pink Line,224,Pink Line,ride,4.768458279851314,
224,Pink Line,211,Pink Line,ride,4.768458279851314,
224,Pink Line,217,Pink Line,ride,11.879677537640097,
217,Pink Line,224,Pink Line,ride,11.879677537640097,
217,Pink Line,218,Pink Line,ride,0.9538407623935103,
218,Pink Line,217,Pink Line,ride,0.9538407623935103,
218,Pink Line,212,Pink Line,ride,7.121567302681706,
212,Pink Line,218,Pink Line,ride,7.121567302681706,
212,Pink Line,216,Pink Line,ride,5.039960770441569,
216,Pink Line,212,Pink Line,ride,5.039960770441569,
216,Pink Line,87,Pink Line,ride,10.966282496436106,
87,Pink Line,216,Pink Line,ride,10.966282496436106,
87,Pink Line,213,Pink Line,ride,6.756831723845691,
87,Pink Line,87,Blue Line,transfer,0.0,4
213,Pink Line,87,Pink Line,ride,6.756831723845691,
213,Pink Line,215,Pink Line,ride,3.0251659273742826,
215,Pink Line,213,Pink Line,ride,3.0251659273742826,
215,Pink Line,5,Pink Line,ride,2.2507883610294743,
5,Pink Line,215,Pink Line,ride,2.2507883610294743,
5,Pink Line,214,Pink Line,ride,1.2499248346118335,
5,Pink Line,5,Red Line,transfer,0.0,4
214,Pink Line,5,Pink Line,ride,1.2499248346118335,
214,Pink Line,222,Pink Line,ride,12.006972271304717,
222,Pink Line,214,Pink Line,ride,12.006972271304717,
222,Pink Line,223,Pink Line,ride,1.4888031256429939,
223,Pink Line,222,Pink Line,ride,1.4888031256429939,
223,Pink Line,221,Pink Line,ride,2.553880242708113,
221,Pink Line,223,Pink Line,ride,2.553880242708113,
221,Pink Line,127,Pink Line,ride,1.6641602674714329,
127,Pink Line,221,Pink Line,ride,1.6641602674714329,
127,Pink Line,206,Pink Line,ride,1.3203181443633225,
127,Pink Line,127,Violet Line,transfer,0.0,4
206,Pink Line,127,Pink Line,ride,1.3203181443633225,
206,Pink Line,56,Pink Line,ride,1.2483310004456267,
56,Pink Line,206,Pink Line,ride,1.2483310004456267,
56,Pink Line,204,Pink Line,ride,2.181634772814207,
56,Pink Line,56,Yellow Line,transfer,0.0,4
204,Pink Line,56,Pink Line,ride,2.181634772814207,
204,Pink Line,205,Pink Line,ride,0.0,
205,Pink Line,204,Pink Line,ride,0.0,
205,Pink Line,173,Pink Line,ride,17.12771895910668,
173,Pink Line,205,Pink Line,ride,17.12771895910668,
173,Pink Line,41,Pink Line,ride,1.8881453310631648,
41,Pink Line,173,Pink Line,ride,1.8881453310631648,
41,Pink Line,203,Pink Line,ride,14.322982882178453,
41,Pink Line,41,Yellow Line,transfer,0.0,4
203,Pink Line,41,Pink Line,ride,14.322982882178453,
203,Pink Line,181,Pink Line,ride,1.3493159915983584,
181,Pink Line,203,Pink Line,ride,1.3493159915983584,
181,Pink Line,174,Pink Line,ride,12.51037061552663,
174,Pink Line,181,Pink Line,ride,12.51037061552663,
174,Pink Line,16,Pink Line,ride,1.421486728299175,
16,Pink Line,174,Pink Line,ride,1.421486728299175,
16,Pink Line,175,Pink Line,ride,1.1289180448644538,
16,Pink Line,16,Red Line,transfer,0.0,4
175,Pink Line,16,Pink Line,ride,1.1289180448644538,
175,Pink Line,176,Pink Line,ride,1.7729498785310902,
176,Pink Line,175,Pink Line,ride,1.7729498785310902,
176,Pink Line,180,Pink Line,ride,7.129217740130769,
180,Pink Line,176,Pink Line,ride,7.129217740130769,
180,Pink Line,179,Pink Line,ride,1.762704731887553,
179,Pink Line,180,Pink Line,ride,1.762704731887553,
179,Pink Line,178,Pink Line,ride,1.5860087860248757,
178,Pink Line,179,Pink Line,ride,1.5860087860248757,
178,Pink Line,177,Pink Line,ride,2.353746218195235,
177,Pink Line,178,Pink Line,ride,2.353746218195235,
177,Pink Line,103,Pink Line,ride,1.0958147621637642,
103,Pink Line,177,Pink Line,ride,1.0958147621637642,
103,Pink Line,103,Blue Line,transfer,0.0,4
138,Violet Line,137,Violet Line,ride,1.0268629718794793,
138,Violet Line,139,Violet Line,ride,1.7431050359858637,
137,Violet Line,138,Violet Line,ride,1.0268629718794793,
137,Violet Line,136,Violet Line,ride,1.972098789054432,
136,Violet Line,137,Violet Line,ride,1.972098789054432,
136,Violet Line,135,Violet Line,ride,1.171478705878373,
135,Violet Line,136,Violet Line,ride,1.171478705878373,
135,Violet Line,134,Violet Line,ride,1.0872746466702243,
134,Violet Line,135,Violet Line,ride,1.0872746466702243,
134,Violet Line,133,Violet Line,ride,1.0950460317562507,
133,Violet Line,134,Violet Line,ride,1.0950460317562507,
133,Violet Line,132,Violet Line,ride,1.1504728394627919,
132,Violet Line,133,Violet Line,ride,1.1504728394627919,
132,Violet Line,131,Violet Line,ride,0.7806819031187783,
131,Violet Line,132,Violet Line,ride,0.7806819031187783,
131,Violet Line,130,Violet Line,ride,0.7328470197918395,
131,Violet Line,131,Magenta Line,transfer,0.0,4
130,Violet Line,131,Violet Line,ride,0.7328470197918395,
130,Violet Line,129,Violet Line,ride,1.2133526474481415,
129,Violet Line,130,Violet Line,ride,1.2133526474481415,
129,Violet Line,128,Violet Line,ride,1.2367790616213472,
128,Violet Line,129,Violet Line,ride,1.2367790616213472,
128,Violet Line,127,Violet Line,ride,0.6840774516415835,
127,Violet Line,128,Violet Line,ride,0.6840774516415835,
127,Violet Line,126,Violet Line,ride,1.5321762790463114,
127,Violet Line,127,Pink Line,transfer,0.0,4
126,Violet Line,127,Violet Line,ride,1.5321762790463114,
126,Violet Line,125,Violet Line,ride,1.0310666444750096,
125,Violet Line,126,Violet Line,ride,1.0310666444750096,
125,Violet Line,124,Violet Line,ride,1.441611269484939,
124,Violet Line,125,Violet Line,ride,1.441611269484939,
124,Violet Line,122,Violet Line,ride,3.0017431359245723,
124,Violet Line,52,Violet Line,ride,2.080358817786091,
122,Violet Line,124,Violet Line,ride,3.0017431359245723,
122,Violet Line,52,Violet Line,ride,3.133676181220282,
122,Violet Line,92,Violet Line,ride,0.6269954927036393,
52,Violet Line,122,Violet Line,ride,3.133676181220282,
52,Violet Line,92,Violet Line,ride,2.522253729223098,
52,Violet Line,124,Violet Line,ride,2.080358817786091,
52,Violet Line,52,Yellow Line,transfer,0.0,4
92,Violet Line,52,Violet Line,ride,2.522253729223098,
92,Violet Line,123,Violet Line,ride,1.555189809604715,
92,Violet Line,122,Violet Line,ride,0.6269954927036393,
92,Violet Line,92,Blue Line,transfer,0.0,4
123,Violet Line,92,Violet Line,ride,1.555189809604715,
123,Violet Line,158,Violet Line,ride,2.515073769358609,
158,Violet Line,123,Violet Line,ride,2.515073769358609,
158,Violet Line,159,Violet Line,ride,1.1335402527390233,
159,Violet Line,158,Violet Line,ride,1.1335402527390233,
159,Violet Line,160,Violet Line,ride,0.8041999748071167,
160,Violet Line,159,Violet Line,ride,0.8041999748071167,
160,Violet Line,8,Violet Line,ride,1.419082585408616,
8,Violet Line,160,Violet Line,ride,1.419082585408616,
8,Violet Line,8,Red Line,transfer,0.0,4
8,Violet Line,8,Yellow Line,transfer,0.0,4
139,Violet Line,138,Violet Line,ride,1.7431050359858637,
139,Violet Line,140,Violet Line,ride,1.7243634392303433,
140,Violet Line,139,Violet Line,ride,1.7243634392303433,
140,Violet Line,141,Violet Line,ride,1.5742846575514755,
141,Violet Line,140,Violet Line,ride,1.5742846575514755,
141,Violet Line,142,Violet Line,ride,0.9037664516908639,
142,Violet Line,141,Violet Line,ride,0.9037664516908639,
142,Violet Line,143,Violet Line,ride,2.030868430554238,
143,Violet Line,142,Violet Line,ride,2.030868430554238,
143,Violet Line,144,Violet Line,ride,1.175830307706003,
144,Violet Line,143,Violet Line,ride,1.175830307706003,
144,Violet Line,145,Violet Line,ride,1.2923498454585212,
145,Violet Line,144,Violet Line,ride,1.2923498454585212,
145,Violet Line,146,Violet Line,ride,1.887850816594347,
146,Violet Line,145,Violet Line,ride,1.887850816594347,
146,Violet Line,147,Violet Line,ride,2.3975344771102334,
147,Violet Line,146,Violet Line,ride,2.3975344771102334,
147,Violet Line,219,Violet Line,ride,1.731580776120602,
219,Violet Line,147,Violet Line,ride,1.731580776120602,
219,Violet Line,220,Violet Line,ride,2.2285153105902755,
220,Violet Line,219,Violet Line,ride,2.2285153105902755,
71,Yellow Line,70,Yellow Line,ride,1.447672036518123,
70,Yellow Line,71,Yellow Line,ride,1.447672036518123,
70,Yellow Line,69,Yellow Line,ride,1.1420263366062984,
69,Yellow Line,70,Yellow Line,ride,1.1420263366062984,
69,Yellow Line,68,Yellow Line,ride,1.2408877385061003,
68,Yellow Line,69,Yellow Line,ride,1.2408877385061003,
68,Yellow Line,67,Yellow Line,ride,0.9051042062838911,
68,Yellow Line,68,Rapid Metro,transfer,0.0,4
67,Yellow Line,68,Yellow Line,ride,0.9051042062838911,
67,Yellow Line,66,Yellow Line,ride,2.315793683029816,
66,Yellow Line,67,Yellow Line,ride,2.315793683029816,
66,Yellow Line,65,Yellow Line,ride,2.6896548655590893,
65,Yellow Line,66,Yellow Line,ride,2.6896548655590893,
65,Yellow Line,64,Yellow Line,ride,1.3420487837919575,
64,Yellow Line,65,Yellow Line,ride,1.3420487837919575,
64,Yellow Line,63,Yellow Line,ride,1.5533431982502028,
63,Yellow Line,64,Yellow Line,ride,1.5533431982502028,
63,Yellow Line,62,Yellow Line,ride,1.2665540352603988,
62,Yellow Line,63,Yellow Line,ride,1.2665540352603988,
62,Yellow Line,61,Yellow Line,ride,1.5933946264298338,
61,Yellow Line,62,Yellow Line,ride,1.5933946264298338,
61,Yellow Line,60,Yellow Line,ride,1.0355001390836929,
60,Yellow Line,61,Yellow Line,ride,1.0355001390836929,
60,Yellow Line,59,Yellow Line,ride,1.6906765036560174,
59,Yellow Line,60,Yellow Line,ride,1.6906765036560174,
59,Yellow Line,58,Yellow Line,ride,1.8356334637583942,
59,Yellow Line,59,Magenta Line,transfer,0.0,4
58,Yellow Line,59,Yellow Line,ride,1.8356334637583942,
58,Yellow Line,57,Yellow Line,ride,0.9336287775148677,
57,Yellow Line,58,Yellow Line,ride,0.9336287775148677,
57,Yellow Line,56,Yellow Line,ride,0.7920653717180799,
56,Yellow Line,57,Yellow Line,ride,0.7920653717180799,
56,Yellow Line,55,Yellow Line,ride,1.374416596780395,
