line,sequence,station_id,station_name,latitude,longitude
Red Line,1,21,Rithala,28.720821,77.105042
Red Line,2,20,Rohini West,28.715008,77.115746
Red Line,3,19,Rohini East,28.707941,77.125732
Red Line,4,18,Pitampura,28.70318,77.132355
Red Line,5,17,Kohat Enclave,28.697943,77.140465
Red Line,6,16,Netaji Subash Place,28.695637,77.152428
Red Line,7,15,Keshav Puram,28.688944,77.161774
Red Line,8,14,Kanhaiya Nagar,28.682386,77.162552
Red Line,9,13,Inderlok,28.673452,77.170235
Red Line,10,12,Shastri Nagar,28.670135,77.181679
Red Line,11,11,Pratap Nagar,28.666632,77.196869
Red Line,12,10,Pul Bangash,28.66571,77.206329
Red Line,13,9,Tis Hazari,28.667137,77.216721
Red Line,14,8,Kashmere Gate,28.667879,77.228012
Red Line,15,7,Shastri Park,28.668451,77.250404
Red Line,16,6,Seelam Pur,28.670324,77.267311
Red Line,17,5,Welcome,28.671986,77.277931
Red Line,18,4,Shahdara,28.673531,77.28727
Red Line,19,3,Mansrover park,28.675352,77.301178
Red Line,20,2,Jhilmil,28.675648,77.312393
Red Line,21,1,Dilshad Garden,28.675991,77.321495
Red Line,22,232,Shaheed Nagar,28.676615,77.333809
Red Line,23,231,Raj Bagh,28.677122,77.346466
Red Line,24,230,Major Mohit Sharma Rajender Nagar,28.678095,77.359528
Red Line,25,229,Shyam Park,28.678217,77.370911
Red Line,26,228,Mohan Nagar,28.67856,77.384209
Red Line,27,227,Arthala,28.6772,77.391876
Red Line,28,226,Hindon River,28.673508,77.40654
Red Line,29,225,Shaheed Sthal (New Bus Adda),28.670177,77.416031
Pink Line,1,74,Anand Vihar,28.647005,77.316185
Pink Line,2,210,IP Extension,28.631599,77.310898
Pink Line,3,207,Trilokpuri Sanjay Lake,28.613506,77.308678
Pink Line,4,75,Karkarduma,28.648653,77.304581
Pink Line,5,208,East Vinod Nagar - Mayur Vihar-II,28.620052,77.305588
Pink Line,6,209,Mandawali - West Vinod Nagar,28.624861,77.304146
Pink Line,7,211,Karkarduma Court,28.649473,77.295341
